,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
0,ETHBTC,0.00029000,0.472,0.06149717,0.06143000,0.06172000,0.07020000,0.06171000,26.09400000,0.06172000,52.11650000,0.06143000,0.06180000,0.06117000,11293.92850000,694.54465275,1694748442961,1694834842961,423032242,423055360,23119
1,LTCBTC,0.00011900,5.008,0.00243413,0.00237600,0.00249500,6.09400000,0.00249500,179.34500000,0.00249600,4.88600000,0.00237600,0.00250800,0.00236600,76624.17800000,186.51286281,1694748447793,1694834847793,93476694,93492961,16268
2,BNBBTC,0.00007100,0.887,0.00803221,0.00800100,0.00807200,0.09100000,0.00807200,3.95200000,0.00807300,18.44000000,0.00800100,0.00807700,0.00797500,22156.17000000,177.96309100,1694748444149,1694834844149,227075258,227100394,25137
3,NEOBTC,0.00000280,1.012,0.00027659,0.00027690,0.00027950,1.72000000,0.00027950,33.99000000,0.00027980,2.08000000,0.00027670,0.00027980,0.00027370,5973.16000000,1.65212238,1694748457580,1694834857580,45508730,45509756,1027
4,QTUMETH,0.00003800,2.872,0.00135281,0.00133700,0.00136100,8.80000000,0.00136100,89.20000000,0.00136700,200.00000000,0.00132300,0.00137100,0.00131600,386.30000000,0.52259050,1694748438963,1694834838963,5401872,5401921,50
5,EOSETH,0.00000220,0.627,0.00034983,0.00035220,0.00035330,29.50000000,0.00035270,510.70000000,0.00035370,383.60000000,0.00035110,0.00035330,0.00034670,9167.90000000,3.20717892,1694748453869,1694834853869,23497541,23497624,84
6,SNTETH,0.00000009,0.670,0.00001363,0.00001346,0.00001352,97.00000000,0.00001368,4439.00000000,0.00001374,17998.00000000,0.00001343,0.00001379,0.00001340,136967.00000000,1.86634185,1694748455011,1694834855011,3906780,3906833,54
7,BNTETH,0.00003040,12.383,0.00025914,0.00024650,0.00027590,15.10000000,0.00027670,555.70000000,0.00027790,56.00000000,0.00024550,0.00027980,0.00024170,124300.10000000,32.21074032,1694748454022,1694834854022,2233375,2234506,1132
8,BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043776,1689661443776,-1,-1,0
9,GASBTC,0.00000080,0.904,0.00008764,0.00008840,0.00008930,11.10000000,0.00008950,25.60000000,0.00008960,14.50000000,0.00008850,0.00008960,0.00008610,36509.00000000,3.19953984,1694748453825,1694834853825,20793486,20796070,2585
